,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price
1994,Suburban,Al-Jouf,Chevrolet,Automatic,Saudi,Semi Full,2011,8.0,399,False,37000
1995,Camry,Al-Baha,Toyota,Automatic,Saudi,Full,2017,2.5,31000,False,75000
1996,Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2012,5.4,177078,False,51000
1997,Tiggo,Riyadh,Chery,Automatic,Saudi,Standard,2021,1.5,4175,False,42500
1998,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2007,4.8,514,False,60000
2000,Q,Jeddah,INFINITI,Automatic,Saudi,Full,2020,3.7,2000,False,155000
2001,Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Full,2016,2.7,220000,False,68000
2002,Hilux,Al-Ahsa,Toyota,Automatic,Saudi,Full,2020,2.7,22000,False,120000
2004,G80,Riyadh,Genesis,Automatic,Saudi,Full,2019,3.0,52000,False,130000
2005,Odyssey,Riyadh,Honda,Automatic,Saudi,Full,2010,3.5,260000,False,33000
2007,Malibu,Riyadh,Chevrolet,Automatic,Gulf Arabic,Standard,2017,2.4,117000,False,45000
2009,Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2018,2.7,111362,False,64500
2011,Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2016,6.0,230000,False,75000
2012,Tucson,Dammam,Hyundai,Automatic,Saudi,Standard,2016,2.0,155000,False,45000
2013,Odyssey,Jeddah,Honda,Automatic,Saudi,Semi Full,2020,3.5,1300,False,165000
2014,C,Al-Medina,Mercedes,Automatic,Saudi,Full,2017,2.5,118000,False,119000
2016,Accent,Jeddah,Hyundai,Automatic,Saudi,Full,2020,1.6,34000,False,56000
2021,Q5,Jeddah,Audi,Automatic,Saudi,Standard,2018,2.5,17000,False,138000
2022,Seven,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.5,37644,False,27500
2023,Explorer,Riyadh,Ford,Automatic,Gulf Arabic,Full,2016,3.5,53000,False,113000
2025,Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2016,2.5,136111,False,53500
2026,Spark,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2019,1.4,58000,False,26000
2028,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2019,3.5,8968,False,81500
2029,CS35,Dammam,Changan,Automatic,Saudi,Full,2021,1.6,2400,False,51000
2033,Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2014,1.6,155000,False,21000
2034,Accord,Al-Namas,Honda,Automatic,Saudi,Standard,2012,5.0,300000,False,30000
2035,Accent,Al-Jouf,Hyundai,Automatic,Saudi,Semi Full,2018,1.4,114969,False,30000
